2017-02-28 02:01:45,622 [Stop Help Server] INFO  o.e.j.server.handler.ContextHandler - Stopped o.e.j.s.ServletContextHandler@575d9512{/help,null,UNAVAILABLE}
2017-02-28 11:12:03,491 [main] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache file is out-of-date. Remote download required.
2017-03-01 11:33:47,611 [main] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache file is out-of-date. Remote download required.
2017-03-01 11:57:37,410 [Start Help Server] INFO  org.eclipse.jetty.util.log - Logging initialized @1547698ms
2017-03-01 11:57:37,863 [Start Help Server] INFO  org.eclipse.jetty.server.Server - jetty-9.2.13.v20150730
2017-03-01 11:57:37,989 [Start Help Server] INFO  o.e.j.server.handler.ContextHandler - Started o.e.j.s.ServletContextHandler@1368661{/help,null,AVAILABLE}
2017-03-01 11:57:38,051 [Start Help Server] INFO  o.e.jetty.server.ServerConnector - Started ServerConnector@42ffb7{HTTP/1.1}{127.0.0.1:53995}
2017-03-01 11:57:38,051 [Start Help Server] INFO  org.eclipse.jetty.server.Server - Started @1548342ms
2017-03-01 12:10:15,239 [Stop Help Server] INFO  o.e.jetty.server.ServerConnector - Stopped ServerConnector@42ffb7{HTTP/1.1}{127.0.0.1:0}
2017-03-01 12:10:15,254 [Stop Help Server] INFO  o.e.j.server.handler.ContextHandler - Stopped o.e.j.s.ServletContextHandler@1368661{/help,null,UNAVAILABLE}
2017-03-03 12:56:01,856 [Start Help Server] INFO  org.eclipse.jetty.util.log - Logging initialized @66119ms
2017-03-03 12:56:02,356 [Start Help Server] INFO  org.eclipse.jetty.server.Server - jetty-9.2.13.v20150730
2017-03-03 12:56:02,465 [Start Help Server] INFO  o.e.j.server.handler.ContextHandler - Started o.e.j.s.ServletContextHandler@1a089f{/help,null,AVAILABLE}
2017-03-03 12:56:02,528 [Start Help Server] INFO  o.e.jetty.server.ServerConnector - Started ServerConnector@86b068{HTTP/1.1}{127.0.0.1:55584}
2017-03-03 12:56:02,528 [Start Help Server] INFO  org.eclipse.jetty.server.Server - Started @66793ms
2017-03-03 12:58:08,268 [main] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache file is out-of-date. Remote download required.
2017-03-03 13:50:25,415 [Stop Help Server] INFO  o.e.jetty.server.ServerConnector - Stopped ServerConnector@86b068{HTTP/1.1}{127.0.0.1:0}
2017-03-03 13:50:25,443 [Stop Help Server] INFO  o.e.j.server.handler.ContextHandler - Stopped o.e.j.s.ServletContextHandler@1a089f{/help,null,UNAVAILABLE}
2017-03-03 15:28:43,666 [main] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache file is out-of-date. Remote download required.
2017-03-03 15:33:06,328 [Start Help Server] INFO  org.eclipse.jetty.util.log - Logging initialized @295421ms
2017-03-03 15:33:07,457 [Start Help Server] INFO  org.eclipse.jetty.server.Server - jetty-9.2.13.v20150730
2017-03-03 15:33:07,484 [Start Help Server] INFO  o.e.j.server.handler.ContextHandler - Started o.e.j.s.ServletContextHandler@25c69428{/help,null,AVAILABLE}
2017-03-03 15:33:07,498 [Start Help Server] INFO  o.e.jetty.server.ServerConnector - Started ServerConnector@492650f0{HTTP/1.1}{127.0.0.1:16805}
2017-03-03 15:33:07,499 [Start Help Server] INFO  org.eclipse.jetty.server.Server - Started @296593ms
2017-03-03 15:43:07,153 [Stop Help Server] INFO  o.e.jetty.server.ServerConnector - Stopped ServerConnector@492650f0{HTTP/1.1}{127.0.0.1:0}
2017-03-03 15:43:07,159 [Stop Help Server] INFO  o.e.j.server.handler.ContextHandler - Stopped o.e.j.s.ServletContextHandler@25c69428{/help,null,UNAVAILABLE}
2017-03-06 11:45:30,853 [main] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache file is out-of-date. Remote download required.
2017-03-06 11:49:22,832 [Start Help Server] INFO  org.eclipse.jetty.util.log - Logging initialized @309091ms
2017-03-06 11:49:23,238 [Start Help Server] INFO  org.eclipse.jetty.server.Server - jetty-9.2.13.v20150730
2017-03-06 11:49:23,347 [Start Help Server] INFO  o.e.j.server.handler.ContextHandler - Started o.e.j.s.ServletContextHandler@6733{/help,null,AVAILABLE}
2017-03-06 11:49:23,394 [Start Help Server] INFO  o.e.jetty.server.ServerConnector - Started ServerConnector@eb7a81{HTTP/1.1}{127.0.0.1:57941}
2017-03-06 11:49:23,394 [Start Help Server] INFO  org.eclipse.jetty.server.Server - Started @309654ms
2017-03-06 11:50:40,475 [Stop Help Server] INFO  o.e.jetty.server.ServerConnector - Stopped ServerConnector@eb7a81{HTTP/1.1}{127.0.0.1:0}
2017-03-06 11:50:40,506 [Stop Help Server] INFO  o.e.j.server.handler.ContextHandler - Stopped o.e.j.s.ServletContextHandler@6733{/help,null,UNAVAILABLE}
2017-03-07 10:34:29,636 [Worker-2] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2017-03-07 10:46:38,115 [Start Help Server] INFO  org.eclipse.jetty.util.log - Logging initialized @751201ms
2017-03-07 10:46:38,610 [Start Help Server] INFO  org.eclipse.jetty.server.Server - jetty-9.3.9.v20160517
2017-03-07 10:46:38,644 [Start Help Server] INFO  o.e.j.server.handler.ContextHandler - Started o.e.j.s.ServletContextHandler@1dec8043{/help,null,AVAILABLE}
2017-03-07 10:46:38,657 [Start Help Server] INFO  o.e.jetty.server.AbstractConnector - Started ServerConnector@4781bccf{HTTP/1.1,[http/1.1]}{127.0.0.1:50884}
2017-03-07 10:46:38,657 [Start Help Server] INFO  org.eclipse.jetty.server.Server - Started @751743ms
